,Temp,TGA,DrTGA,vel_cal
12478,528.395813,9.833843,-0.004889,10
12479,991.82489,3.851117,-0.0005,5
12480,1052.15094,3.952904,-0.000517,10
12481,551.492371,8.467361,-0.003273,5
12482,1051.387695,3.621897,-6.1e-05,5
12483,767.641022,4.788999,-0.000801,5
12484,765.3232419999999,4.802219,-0.00086,5
12485,1034.877808,4.005928,-0.000237,10
12486,390.503647,10.809732,-0.000759,5
12487,784.412506,4.854202,-0.001542,15
12488,488.213501,10.190363,-0.00126,5
12489,1138.764465,3.729227,-0.000258,15
12490,394.679031,10.791006,-0.000702,5
12491,579.3843079999999,7.286158,-0.002862,5
12492,952.086853,4.223254,4e-06,10
12493,768.280762,5.027441,-0.001248,10
12494,855.533447,4.578367,-0.0006,15
12495,1133.8460690000002,3.167154,-0.00106,5
12496,975.119629,4.161428,-0.000278,10
12497,1057.1748659999998,3.955408,-0.000313,15
12498,1005.164795,3.816785,-0.000639,5
12499,550.810211,8.492673,-0.003033,5
12500,417.533646,10.97414,-0.000596,15
12501,982.806335,3.880234,-0.000279,5
12502,460.624954,10.516483,-0.001171,5
12503,506.589676,9.851952,-0.002141,5
12504,976.050842,4.132843,-0.00049,15
12505,520.057892,9.512715,-0.003383,5
12506,525.144058,9.340754,-0.002852,5
12507,814.672424,4.793353,-0.000116,10
12508,533.5901180000001,9.7501,-0.006964,15
12509,858.112732,4.402483,-0.00043,5
12510,523.334335,9.403812,-0.002452,5
12511,983.223633,3.879738,0.000201,5
12512,863.492859,4.386578,0.000232,5
12513,988.822327,3.864427,-0.000702,5
12514,382.952339,11.198252,-0.001186,10
12515,829.28241,4.507774,-0.000451,5
12516,401.343445,11.039004,-0.001036,15
12517,447.383438,10.866905,-0.000587,15
12518,916.729919,4.418818,-0.000518,10
12519,559.28772,8.933784,-0.008532,15
12520,687.1588750000001,5.842914,-0.001496,10
12521,806.453064,4.747025,-0.00065,15
12522,782.934479,4.940432,-0.000537,10
12523,944.872314,4.000736,0.000469,5
12524,834.583313,4.643033,-0.000351,15
12525,995.638245,3.84602,-0.000261,5
12526,768.798279,4.781497,-0.00049,5
12527,1059.859192,3.581261,-0.000421,5
12528,956.269958,3.965218,0.000129,5
12529,632.963043,6.517648,-0.004172,15
12530,666.2211,6.050265,-0.003552,15
12531,829.121338,4.662204,-0.000781,15
12532,1056.421875,3.600177,5.9e-05,5
12533,530.037598,9.849152,-0.006623,15
12534,991.748535,3.851717,-0.00062,5
12535,565.153046,7.906937,-0.004094,5
12536,699.471588,5.657159,-0.00266,15
12537,699.3544919999999,5.395574,-0.000781,5
12538,1092.168091,3.412588,3e-05,5
12539,873.062134,4.588312,-0.000127,10
12540,1159.113953,2.987888,-0.001141,5
12541,620.177124,6.742638,-0.003098,10
12542,865.270874,4.549786,-0.000981,15
