,Temp,TGA,DrTGA,vel_cal
4646,307.729427,11.293917,-7.3e-05,5
4647,734.077301,4.703504,-0.000694,5
4648,332.968636,11.375881,-0.000786,15
4649,936.427551,3.716128,-0.000453,5
4650,863.626587,4.013231,-0.000214,5
4651,749.623657,4.58225,-0.000494,5
4652,608.2978820000001,7.207682,-0.003636,5
4653,301.900827,11.388638,-3.1e-05,15
4654,1088.3046880000002,3.259983,-0.000652,5
4655,516.58371,10.558111,-0.002968,10
4656,685.284943,5.62225,-0.004522,15
4657,339.131165,11.215935,-0.000694,5
4658,618.594818,6.803139,-0.002925,5
4659,972.810303,3.599355,-0.000284,5
4660,1072.0413819999999,3.309815,0.000327,5
4661,359.834679,11.107978,-0.000602,5
4662,302.209167,11.297155,-0.000306,5
4663,519.144226,10.094133,-0.001653,5
4664,642.331543,6.08481,-0.002294,5
4665,644.7730710000001,6.024461,-0.002216,5
4666,1126.802917,3.124133,1.5e-05,5
4667,860.420837,4.023067,-0.000555,5
4668,644.916656,6.51203,-0.004839,10
4669,546.6655579999999,9.364587,-0.002605,5
4670,1118.131653,3.152942,-3.2e-05,5
4671,1121.649658,3.143271,-0.000475,5
4672,636.925568,6.233822,-0.002304,5
4673,897.832336,3.880385,3.7e-05,5
4674,370.45703100000003,11.062263,-0.000363,5
4675,782.109802,4.548292,-0.001107,10
4676,630.796906,6.970922,-0.006062,10
4677,433.451859,10.853291,-0.000334,5
4678,1017.429688,3.471302,5.7e-05,5
4679,1132.6812129999998,3.099545,-0.000473,5
4680,845.205872,4.244469,-0.001212,15
4681,659.831482,6.234421,-0.007164,15
4682,740.032837,4.860263,-0.001658,10
4683,1153.498596,3.434004,-0.000395,10
4684,1171.1111449999999,2.940258,-0.000175,5
4685,643.822266,6.049888,-0.002094,5
4686,621.557343,6.699759,-0.003085,5
4687,861.695496,4.020231,-0.000274,5
4688,365.292908,11.084703,-0.000374,5
4689,545.042328,9.413895,-0.001924,5
4690,1161.697754,2.978721,-0.000854,5
4691,1154.1438600000001,3.011665,2.6e-05,5
4692,969.022644,3.84906,-0.000267,10
4693,385.733574,11.17857,-0.001046,15
4694,334.906094,11.234967,-0.000794,5
4695,440.18009900000004,10.829679,-0.000193,5
4696,656.964813,5.746646,-0.001614,5
4697,845.589417,4.080408,-0.000375,5
4698,967.412903,3.855829,-0.000666,10
4699,305.315269,11.295309,-0.000104,5
4700,536.091095,9.667768,-0.002625,5
4701,965.653259,3.859464,3e-06,10
4702,714.22406,4.886314,-0.001166,5
4703,930.049866,3.967589,-0.000467,10
4704,1125.4876709999999,3.504789,-0.000376,10
4705,557.9124449999999,9.617987,-0.007423,15
